Project Name,Package Name,Architecture Smell,Cause of the Smell
symphony,org.b3log.symphony.cache,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.service
symphony,org.b3log.symphony.cache,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArticleCache]; [CommentCache]; [DomainCache]; [OptionCache]; [TagCache]; [UserCache]. LCC (Lack of Component Cohesion) = 1.0
symphony,org.b3log.symphony.cache,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.repository; org.b3log.symphony.service.
symphony,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 8.46. All the dependencies among components: from: org.b3log.symphony.cache to: org.b3log.symphony.util; from: org.b3log.symphony.cache to: org.b3log.symphony.repository; from: org.b3log.symphony.cache to: org.b3log.symphony.service; from: org.b3log.symphony.cache to: org.b3log.symphony.model; from: org.b3log.symphony.event to: org.b3log.symphony.service; from: org.b3log.symphony.event to: org.b3log.symphony.model; from: org.b3log.symphony.event to: org.b3log.symphony.util; from: org.b3log.symphony.event to: org.b3log.symphony.repository; from: org.b3log.symphony.event to: org.b3log.symphony.processor.channel; from: org.b3log.symphony.model to: org.b3log.symphony.util; from: org.b3log.symphony.model to: org.b3log.symphony.cache; from: org.b3log.symphony.processor to: org.b3log.symphony.service; from: org.b3log.symphony.processor to: org.b3log.symphony.processor.middleware; from: org.b3log.symphony.processor to: org.b3log.symphony.processor.middleware.validate; from: org.b3log.symphony.processor to: org.b3log.symphony.util; from: org.b3log.symphony.processor to: org.b3log.symphony.model; from: org.b3log.symphony.processor to: org.b3log.symphony.cache; from: org.b3log.symphony.processor to: org.b3log.symphony.repository; from: org.b3log.symphony.processor to: org.b3log.symphony.processor.channel; from: org.b3log.symphony.processor to: org.b3log.symphony.model.feed; from: org.b3log.symphony.processor to: org.b3log.symphony; from: org.b3log.symphony.processor to: org.b3log.symphony.model.sitemap; from: org.b3log.symphony.processor.channel to: org.b3log.symphony.service; from: org.b3log.symphony.processor.channel to: org.b3log.symphony.util; from: org.b3log.symphony.processor.channel to: org.b3log.symphony.model; from: org.b3log.symphony.processor.middleware to: org.b3log.symphony.repository; from: org.b3log.symphony.processor.middleware to: org.b3log.symphony.service; from: org.b3log.symphony.processor.middleware to: org.b3log.symphony.util; from: org.b3log.symphony.processor.middleware to: org.b3log.symphony.model; from: org.b3log.symphony.processor.middleware.validate to: org.b3log.symphony.service; from: org.b3log.symphony.processor.middleware.validate to: org.b3log.symphony.util; from: org.b3log.symphony.processor.middleware.validate to: org.b3log.symphony.model; from: org.b3log.symphony.processor.middleware.validate to: org.b3log.symphony.processor; from: org.b3log.symphony.repository to: org.b3log.symphony.cache; from: org.b3log.symphony.repository to: org.b3log.symphony.model; from: org.b3log.symphony.repository to: org.b3log.symphony.util; from: org.b3log.symphony to: org.b3log.symphony.service; from: org.b3log.symphony to: org.b3log.symphony.event; from: org.b3log.symphony to: org.b3log.symphony.cache; from: org.b3log.symphony to: org.b3log.symphony.processor; from: org.b3log.symphony to: org.b3log.symphony.util; from: org.b3log.symphony.service to: org.b3log.symphony.repository; from: org.b3log.symphony.service to: org.b3log.symphony.util; from: org.b3log.symphony.service to: org.b3log.symphony.model; from: org.b3log.symphony.service to: org.b3log.symphony.event; from: org.b3log.symphony.service to: org.b3log.symphony.cache; from: org.b3log.symphony.service to: org.b3log.symphony.processor.middleware.validate; from: org.b3log.symphony.service to: org.b3log.symphony.processor.channel; from: org.b3log.symphony.service to: org.b3log.symphony.processor; from: org.b3log.symphony.service to: org.b3log.symphony; from: org.b3log.symphony.service to: org.b3log.symphony.model.sitemap; from: org.b3log.symphony.util to: org.b3log.symphony.model; from: org.b3log.symphony.util to: org.b3log.symphony.service; from: org.b3log.symphony.util to: org.b3log.symphony.repository; from: org.b3log.symphony.util to: org.b3log.symphony.
symphony,org.b3log.symphony.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony.cache; org.b3log.symphony.repository; org.b3log.symphony.cache
symphony,org.b3log.symphony.cache,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony.cache; org.b3log.symphony.model; org.b3log.symphony.cache
symphony,org.b3log.symphony.event,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: org.b3log.symphony.service; org.b3log.symphony.util.
symphony,org.b3log.symphony.event,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.b3log.symphony.event; org.b3log.symphony.service; org.b3log.symphony.event
symphony,org.b3log.symphony.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.b3log.symphony.util; org.b3log.symphony.cache
symphony,org.b3log.symphony.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Article]; [Breezemoon]; [Character]; [Comment]; [Common; Operation]; [Domain]; [Emotion]; [Follow]; [Invitecode]; [Link]; [Liveness]; [Notification]; [Option]; [Permission]; [Pointtransfer]; [Referral]; [Report]; [Revision]; [Reward]; [Role]; [Tag]; [UserExt]; [Verifycode]; [Visit]; [Vote]. LCC (Lack of Component Cohesion) = 0.96
